2025-08-25 14:25:34.312 | INFO     | obscam.capture_loop:_capture_worker:204 | {'module': 'capture_loop', 'final_frame_count': 8} | Capture loop thread ended
2025-08-25 14:25:34.313 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-25 14:25:34.542 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:34.542 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
2025-08-25 14:25:34.543 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'settings_updated', 'settings': {'exposure_ms': 300.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Camera event
2025-08-25 14:25:34.544 | INFO     | obscam.backend_service:update_settings:197 | {'module': 'backend_service', 'settings': {'exposure_ms': 300.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings updated successfully
2025-08-25 14:25:34.546 | INFO     | obscam.settings_manager:_save_settings_to_disk:125 | {'module': 'settings_manager', 'settings': {'exposure_ms': 300.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings saved successfully
2025-08-25 14:25:34.548 | INFO     | obscam.backend_service:update_settings:168 | {'module': 'backend_service', 'new_settings': {'exposure_ms': 500.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120}} | Updating camera settings
2025-08-25 14:25:35.759 | INFO     | obscam.capture_loop:_capture_worker:204 | {'module': 'capture_loop', 'final_frame_count': 1} | Capture loop thread ended
2025-08-25 14:25:35.759 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-25 14:25:36.081 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:36.081 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
2025-08-25 14:25:36.081 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'settings_updated', 'settings': {'exposure_ms': 500.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Camera event
2025-08-25 14:25:36.081 | INFO     | obscam.backend_service:update_settings:197 | {'module': 'backend_service', 'settings': {'exposure_ms': 500.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings updated successfully
2025-08-25 14:25:36.082 | INFO     | obscam.backend_service:update_settings:168 | {'module': 'backend_service', 'new_settings': {'exposure_ms': 2000.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120}} | Updating camera settings
2025-08-25 14:25:36.082 | INFO     | obscam.settings_manager:_save_settings_to_disk:125 | {'module': 'settings_manager', 'settings': {'exposure_ms': 500.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings saved successfully
2025-08-25 14:25:37.426 | INFO     | obscam.capture_loop:_capture_worker:204 | {'module': 'capture_loop', 'final_frame_count': 1} | Capture loop thread ended
2025-08-25 14:25:37.426 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-25 14:25:37.637 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:37.637 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
2025-08-25 14:25:37.638 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'settings_updated', 'settings': {'exposure_ms': 2000.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Camera event
2025-08-25 14:25:37.639 | INFO     | obscam.backend_service:update_settings:197 | {'module': 'backend_service', 'settings': {'exposure_ms': 2000.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings updated successfully
2025-08-25 14:25:37.645 | INFO     | obscam.backend_service:update_settings:168 | {'module': 'backend_service', 'new_settings': {'exposure_ms': 750.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120}} | Updating camera settings
2025-08-25 14:25:37.646 | INFO     | obscam.settings_manager:_save_settings_to_disk:125 | {'module': 'settings_manager', 'settings': {'exposure_ms': 2000.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings saved successfully
2025-08-25 14:25:39.650 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-25 14:25:39.856 | ERROR    | obscam.backend_service:update_settings:199 | {'module': 'backend_service', 'settings': {'exposure_ms': 750.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120}} | Failed to update camera settings
2025-08-25 14:25:39.857 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:39.858 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
2025-08-25 14:25:39.858 | WARNING  | obscam.capture_loop:_capture_worker:162 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-25 14:25:39.860 | INFO     | obscam.backend_service:update_settings:168 | {'module': 'backend_service', 'new_settings': {'exposure_ms': 1000.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120}} | Updating camera settings
2025-08-25 14:25:39.964 | INFO     | obscam.capture_loop:_capture_worker:204 | {'module': 'capture_loop', 'final_frame_count': 0} | Capture loop thread ended
2025-08-25 14:25:39.965 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-25 14:25:40.249 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:40.249 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
2025-08-25 14:25:40.249 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'settings_updated', 'settings': {'exposure_ms': 1000.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Camera event
2025-08-25 14:25:40.249 | INFO     | obscam.backend_service:update_settings:197 | {'module': 'backend_service', 'settings': {'exposure_ms': 1000.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings updated successfully
2025-08-25 14:25:40.250 | INFO     | obscam.backend_service:update_settings:168 | {'module': 'backend_service', 'new_settings': {'exposure_ms': 1500.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120}} | Updating camera settings
2025-08-25 14:25:40.250 | INFO     | obscam.settings_manager:_save_settings_to_disk:125 | {'module': 'settings_manager', 'settings': {'exposure_ms': 1000.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings saved successfully
2025-08-25 14:25:40.377 | INFO     | obscam.capture_loop:_capture_worker:204 | {'module': 'capture_loop', 'final_frame_count': 1} | Capture loop thread ended
2025-08-25 14:25:41.965 | INFO     | obscam.capture_loop:_capture_worker:204 | {'module': 'capture_loop', 'final_frame_count': 1} | Capture loop thread ended
